Year_Month,Mean_NDVI_Score,Mean_MI_Score,Mean_SAVI_Score,Mean_NDBI_Score,Mean_EVI_Score,Mean_NDWI_Score,Crop_Health_Status
2020_Jan,0.2500174615463502,0.1942923274270422,0.360777881280961,0.3053990436631758,0.4159746561952128,0.4798093526098688,Good
2020_Feb,0.2374110606796797,0.2082976652863948,0.3199983221080408,0.3089320337541995,0.2222907875469044,0.4370827347131502,Good
2020_Mar,0.1835102697860005,0.282004393355996,0.2641705009384762,0.2142811820148309,0.3303471658273627,0.4791309492466528,Good
2020_April,0.1574457756780188,0.3587317575548107,0.2205316117648521,0.1739808597157432,0.2397923070883188,0.4656660038921278,Good
2020_May,0.1367691311333535,0.3915868214345873,0.1869881709084087,0.1530191452914525,0.2049215782488139,0.4750698988934634,Good
2020_June,0.1792775585246659,0.3583559396194949,0.2275683655446456,0.1918210588698981,0.2224275145610511,0.4468846968933376,Good
2020_July,0.1922081131875649,0.2050734464418351,0.2173934441171889,0.4193755565396037,-0.2089841512648659,0.3458434977990688,Bad
2020_Aug,0.2029847567581091,0.2779795250037071,0.2458398763365508,0.4682206362414708,-0.1818500814639101,0.3844994860884743,Bad
2020_Sep,0.3278799305086329,0.1778903183614598,0.3969886496770874,0.4200418243632251,0.1140087625824014,0.4152282720212232,Good
2020_Oct,0.2587250242219648,0.2198403789877001,0.3010842199852794,0.4258289150152975,-0.1430189137434409,0.3119705498796964,Bad
2020_Nov,0.2838506767205177,0.1258244874398944,0.4043106082984731,0.3872341831126251,0.4458067286321612,0.4777785413993203,Good
2020_Dec,0.2408220095207526,0.1495166080025729,0.3475185908616436,0.3517785840844155,0.3840406530289996,0.4784374987099125,Good
2021_Jan,0.1866131693665085,0.1721406312635625,0.2689863366606144,0.3167579934585943,0.3287472439113126,0.4723332195817409,Good
2021_Feb,0.1986225887151988,0.2620320725202079,0.2864523738310892,0.250893560639731,0.3284900573621135,0.4802762071534761,Good
2021_Mar,0.1662268822923567,0.327203221947713,0.2383222320223027,0.2023668400505054,0.2916824359113779,0.4796728596554555,Good
2021_April,0.1347232821403555,0.3672805733955201,0.1907522111680704,0.1732634562668125,0.2455865805045879,0.4784906936408237,Good
2021_May,0.2114459491322018,0.2741219613364075,0.2448348435300769,0.3001968299776317,-0.0320014798652434,0.3507936724175978,Bad
2021_June,0.2349954448047009,0.2409585389057467,0.260443419683611,0.3521667252857401,-0.1054258164727075,0.3008096017378014,Bad
2021_July,0.2312885417740998,0.148519063822888,0.3057739224969051,0.3527951546758556,0.205887127913399,0.435729502148724,Good
2021_Aug,0.284338581185244,0.26130731050096,0.3219017573915309,0.4497872817823131,-0.1697413206338468,0.2961526592717209,Bad
2021_Sep,0.2355166804248429,0.1890340977774214,0.3063475596642915,0.4438181705083713,0.018455827777909,0.4387968640718879,Good
2021_Oct,0.3227117919901392,0.1623192270687586,0.3894262530736143,0.3887015580042867,0.0946286355950046,0.4078950801601531,Good
2021_Nov,0.2522941900727141,0.114574559806387,0.3611706336084291,0.4148200133377207,0.373375100836112,0.4756367620776041,Good
2021_Dec,0.2544981663566908,0.2618423292848444,0.2999093648389197,0.3948566802699496,-0.0368674421555791,0.3024830885327845,Bad
2022_Jan,0.2085345829931182,0.1802708711800723,0.2993512927613878,0.3117487225030157,0.3550591365999792,0.4727681791141073,Good
2022_Feb,0.214522946804727,0.2576766102791878,0.3087402165271733,0.2711580301472376,0.3636526113121605,0.479168016596214,Good
2022_Mar,0.170010996845091,0.29111278647987,0.2411063475533522,0.2189212556066521,0.2824099203047783,0.4752369313194563,Good
2022_April,0.1449802479450622,0.3475446485819197,0.2036844696823361,0.190407714301004,0.2467462224620421,0.4786454003159451,Good
2022_May,0.1346234585299929,0.3573097404312743,0.1843643934358637,0.1709428261061119,0.2228794937469553,0.4755688617980979,Good
2022_June,0.1514839154031022,0.2986085548169624,0.1845499793140645,0.2479856972108106,0.0765515427927304,0.3822606619735784,Good
2022_July,0.1597103703647038,0.3169604041058823,0.1725674275276138,0.4297036116247417,-0.1893563386553376,0.3154520324731187,Bad
2022_Aug,0.2467718973475522,0.1924686498732555,0.2865861466489703,0.4313403237980967,-0.1665128740672752,0.333545896726072,Bad
2022_Sep,0.3396346192593072,0.1569635902792207,0.4132828713963852,0.4089692743045128,0.2202990257131785,0.4308939585243683,Good
2022_Oct,0.3084165990091551,0.1154491643309355,0.4302087432910412,0.4298957141011295,0.4380574046405228,0.4748232822895318,Good
2022_Nov,0.2789970069847964,0.1189399527388825,0.3933559145362705,0.4001701563992306,0.4036849424233577,0.4719810009261227,Good
2022_Dec,0.2433605353769999,0.1334868070331567,0.3398817132095977,0.3586268493411987,0.3338369216938058,0.4606863574940165,Good
2023_Jan,0.2420703116452133,0.1871675982735684,0.3470008142818728,0.3143523869450453,0.3950005869073593,0.4781043544340055,Good
2023_Feb,0.2191921363869583,0.2402697964438267,0.3132173975297841,0.2879158498966511,0.3425343511938146,0.4807498034673401,Good
2023_Mar,0.1674607013197804,0.2843554285795417,0.2385823416554436,0.2235252383329885,0.2910453681048597,0.4781652220614188,Good
2023_April,0.1530087862447427,0.3423647484206994,0.2128240788479959,0.1947083659931894,0.2654774729532884,0.4740895279561381,Good
2023_May,0.2807029662368229,0.2600983586000651,0.3207793762872957,0.3081985536371628,-0.0351612719394377,0.3564671368810211,Bad
2023_June,0.157004252160903,0.3157734684554743,0.2162229843198327,0.1916722131330333,0.2471420565574913,0.474129069107753,Good
